0.8862500000000001,0,0.001630648772300242,141: out
,"[178, 0, 0]","[0.03642748458123532, 3.162914281799849e-06]"
,"[179, 0, 0]","[0.03642748457501689, 2.8084083397217868e-06]"
,"[180, 0, 0]","[0.03642748457078938, 1.509660853448354e-06]"
,"[181, 0, 0]","[0.03642748456848348, 1.1218524642659562e-06]"
,"[182, 0, 0]","[0.03642748456631083, 1.6986013683274509e-06]"
,"[183, 0, 0]","[0.03642748456321196, 2.211925050013747e-06]"
,"[184, 0, 0]","[0.03642748455995436, 1.908996965152739e-06]"
,"[185, 0, 0]","[0.03642748455774262, 1.0555886398437404e-06]"
,"[186, 0, 0]","[0.036427484556397174, 9.127559279952241e-07]"
,"[187, 0, 0]","[0.03642748455495873, 1.382446892750815e-06]"
,"[188, 0, 0]","[0.03642748455294895, 1.7299076364564499e-06]"
,"[189, 0, 0]","[0.03642748455096267, 1.4077269136955038e-06]"
,"[190, 0, 0]","[0.036427484549719516, 7.503851484569003e-07]"
,"[191, 0, 0]","[0.036427484548984694, 6.952941556559109e-07]"
,"[192, 0, 0]","[0.03642748454818502, 1.0245325924618858e-06]"
,"[193, 0, 0]","[0.036427484547122975, 1.2013676239738558e-06]"
,"[194, 0, 0]","[0.03642748454616782, 8.985089155337132e-07]"
,"[195, 0, 0]","[0.03642748454560712, 4.877278092293396e-07]"
,"[196, 0, 0]","[0.03642748454524351, 5.296725278793633e-07]"
,"[197, 0, 0]","[0.03642748454479205, 7.765363822994986e-07]"
,"[198, 0, 0]","[0.03642748454420197, 8.714323433163124e-07]"
,"[199, 0, 0]","[0.03642748454368876, 6.239103108529195e-07]"
,"[200, 0, 0]","[0.03642748454338254, 3.6698794961856635e-07]"
,"[201, 0, 0]","[0.0364274845431512, 4.506004032406394e-07]"
,"[202, 0, 0]","[0.03642748454282183, 6.786875564080011e-07]"
,"[203, 0, 0]","[0.036427484542360326, 7.885987871674097e-07]"
,"[204, 0, 0]","[0.03642748454191659, 6.017953766108848e-07]"
,"[205, 0, 0]","[0.03642748454162332, 3.6459321605339233e-07]"
,"[206, 0, 0]","[0.03642748454139749, 4.30665437881413e-07]"
,"[207, 0, 0]","[0.03642748454109243, 6.430643168711121e-07]"
,"[208, 0, 0]","[0.03642748454067003, 7.483040443855072e-07]"
,"[209, 0, 0]","[0.03642748454026941, 5.70269075577016e-07]"
,"[210, 0, 0]","[0.036427484540013544, 3.3694298240791584e-07]"
,"[211, 0, 0]","[0.03642748453982582, 3.874121427545236e-07]"
,"[212, 0, 0]","[0.03642748453957069, 5.853278027416081e-07]"
,"[213, 0, 0]","[0.036427484539200576, 7.069334393045455e-07]"
,"[214, 0, 0]","[0.036427484538829095, 5.661856444033521e-07]"
,"[215, 0, 0]","[0.03642748453858615, 3.300257480435613e-07]"
,"[216, 0, 0]","[0.036427484538418715, 3.490178963722304e-07]"
,"[217, 0, 0]","[0.03642748453820044, 5.334378252557661e-07]"
,"[218, 0, 0]","[0.036427484537860634, 6.887099435994268e-07]"
,"[219, 0, 0]","[0.03642748453747824, 6.11600368280889e-07]"
,"[220, 0, 0]","[0.03642748453720219, 3.6785241702320455e-07]"
,"[221, 0, 0]","[0.036427484537024546, 3.2591764984182406e-07]"
,"[222, 0, 0]","[0.03642748453682703, 4.809120204123856e-07]"
,"[223, 0, 0]","[0.036427484536523426, 6.385151303927172e-07]"
,"[224, 0, 0]","[0.03642748453617183, 5.944250496270904e-07]"
,"[225, 0, 0]","[0.03642748453591069, 3.66807864427594e-07]"
,"[226, 0, 0]","[0.036427484535749254, 2.9778176981086704e-07]"
,"[227, 0, 0]","[0.03642748453557922, 4.3434564965996727e-07]"
,"[228, 0, 0]","[0.036427484535301646, 6.152190743077404e-07]"
,"[229, 0, 0]","[0.03642748453493767, 6.409010243368312e-07]"
,"[230, 0, 0]","[0.03642748453462857, 4.3493798806768705e-07]"
,"[231, 0, 0]","[0.036427484534441834, 2.914224849184565e-07]"
,"[232, 0, 0]","[0.036427484534284675, 3.8113455818957883e-07]"
,"[233, 0, 0]","[0.03642748453404926, 5.469907018235495e-07]"
,"[234, 0, 0]","[0.03642748453373405, 5.957602332046227e-07]"
,"[235, 0, 0]","[0.03642748453346472, 4.14698242567586e-07]"
,"[236, 0, 0]","[0.036427484533318816, 2.4225207419300476e-07]"
,"[237, 0, 0]","[0.03642748453321968, 2.8357639018043976e-07]"
,"[238, 0, 0]","[0.036427484533074726, 4.195998045394368e-07]"
,"[239, 0, 0]","[0.03642748453285527, 5.089858340350176e-07]"
,"[240, 0, 0]","[0.03642748453263479, 4.0841304645503084e-07]"
,"[241, 0, 0]","[0.036427484532506604, 2.2207828721957788e-07]"
,"[242, 0, 0]","[0.03642748453244031, 1.9753570430203222e-07]"
,"[243, 0, 0]","[0.036427484532369575, 2.7174535786166113e-07]"
,"[244, 0, 0]","[0.03642748453226242, 3.3735588325060406e-07]"
,"[245, 0, 0]","[0.036427484532150715, 2.889136840368817e-07]"
,"[246, 0, 0]","[0.03642748453207899, 1.7239745463498636e-07]"
,"[247, 0, 0]","[0.036427484532038555, 1.5190175293126924e-07]"
,"[248, 0, 0]","[0.03642748453199508, 2.0609970420132047e-07]"
,"[249, 0, 0]","[0.03642748453192869, 2.612426204310829e-07]"
,"[250, 0, 0]","[0.03642748453185572, 2.3507035525457993e-07]"
,"[251, 0, 0]","[0.03642748453180552, 1.4716335626676117e-07]"
,"[252, 0, 0]","[0.03642748453177686, 1.236918422316826e-07]"
,"[253, 0, 0]","[0.036427484531748176, 1.6092624727602516e-07]"
,"[254, 0, 0]","[0.036427484531706904, 1.9847302816205535e-07]"
,"[255, 0, 0]","[0.036427484531663695, 1.733689003824596e-07]"
,"[256, 0, 0]","[0.03642748453163567, 1.0690565535666379e-07]"
,"[257, 0, 0]","[0.03642748453162024, 9.138535443322859e-08]"
,"[258, 0, 0]","[0.036427484531604666, 1.1700459214891587e-07]"
,"[259, 0, 0]","[0.03642748453158268, 1.3976672535651042e-07]"
,"[260, 0, 0]","[0.03642748453156103, 1.1660412753981299e-07]"
,"[261, 0, 0]","[0.03642748453154804, 7.133941331404563e-08]"
,"[262, 0, 0]","[0.0364274845315408, 6.500969394964482e-08]"
,"[263, 0, 0]","[0.03642748453153254, 8.559766832630996e-08]"
,"[264, 0, 0]","[0.03642748453152016, 1.0539581368340775e-07]"
,"[265, 0, 0]","[0.03642748453150719, 9.146812699845007e-08]"
,"[266, 0, 0]","[0.03642748453149907, 5.605946643453231e-08]"
,"[267, 0, 0]","[0.03642748453149479, 4.7536958167404194e-08]"
,"[268, 0, 0]","[0.03642748453149056, 5.974315845397497e-08]"
,"[269, 0, 0]","[0.03642748453148439, 7.187230613686402e-08]"
,"[270, 0, 0]","[0.0364274845314781, 6.148078656478022e-08]"
,"[271, 0, 0]","[0.03642748453147427, 3.839219251775094e-08]"
,"[272, 0, 0]","[0.03642748453147219, 3.4056368673947246e-08]"
,"[273, 0, 0]","[0.0364274845314699, 4.378876654639764e-08]"
,"[274, 0, 0]","[0.03642748453146634, 5.4823468289545115e-08]"
,"[275, 0, 0]","[0.03642748453146247, 4.9487004763061145e-08]"
,"[276, 0, 0]","[0.03642748453145993, 3.067878447026389e-08]"
,"[277, 0, 0]","[0.036427484531458734, 2.443097764950714e-08]"
,"[278, 0, 0]","[0.036427484531457645, 3.00546064024834e-08]"
,"[279, 0, 0]","[0.03642748453145581, 3.898124661653316e-08]"
,"[280, 0, 0]","[0.036427484531453565, 3.89565897144884e-08]"
,"[281, 0, 0]","[0.03642748453145184, 2.7173206484943674e-08]"
,"[282, 0, 0]","[0.03642748453145085, 2.074567850349404e-08]"
,"[283, 0, 0]","[0.03642748453145012, 2.405047792886266e-08]"
,"[284, 0, 0]","[0.036427484531448916, 3.038494310545424e-08]"
,"[285, 0, 0]","[0.03642748453144751, 3.036247553893945e-08]"
0.8861328125000001,0,8.409683175651242e-13,141: out
,,RedoAct,IN,OUT
0.8861328125000001,"[0, 0, 0]","[0.03642748453063508, 2.832712333750258e-06]",141: out
,"[1, 0, 0]","[0.036427484522759096, 2.7292101332123756e-06]"
,"[1, 0, 0]","[0.036427484515179645, 2.7292101332123756e-06]"
,"[1, 1, 0]","[0.036427484500910406, 2.6282643603586695e-06]"
,"[2, 0, 0]","[0.03642748442009459, 1.3408643252267476e-05]"
,"[3, 0, 0]","[0.0364274875781891, 0.0004957281685477581]"
,"[3, 0, 0]","[0.0364274875781891, 0.0004957281685477581]"
,"[3, 0, 1]","[0.03642748516509998, 0.0002412849217934244]"
,"[3, 0, 2]","[0.03642748458408688, 0.00011407423935572601]"
,"[3, 0, 3]","[0.03642748444996318, 5.049573786502064e-05]"
,"[3, 0, 4]","[0.03642748442199698, 1.879281977095209e-05]"
,"[4, 0, 0]","[0.03642748442558979, 2.2065824159770685e-05]"
,"[4, 0, 0]","[0.03642748442558979, 2.2065824159770685e-05]"
,"[4, 0, 1]","[0.0364274844181442, 1.0598070268722567e-05]"
,"[5, 0, 0]","[0.03642748445387723, 3.741245402859756e-05]"
,"[5, 0, 0]","[0.03642748445387723, 3.741245402859756e-05]"
,"[5, 0, 1]","[0.03642748442107997, 1.7286470528463286e-05]"
,"[6, 0, 0]","[0.036427484504091404, 7.043662420133344e-05]"
,"[6, 0, 0]","[0.036427484504091404, 7.043662420133344e-05]"
,"[6, 0, 1]","[0.03642748443000422, 3.340262227060186e-05]"
,"[6, 0, 2]","[0.03642748441529689, 1.5461981951157623e-05]"
